Rating,Note ID,Investment Amount,Term,Purchase Date,Payment Due Date,Payments Received,Principal Outstanding,Yield,Status,Sub Status
"A",2307936-184,$25.000000,3 Years,2024-12-20,2025-02-18,$0.781125,$24.402125,8.6300000%,current,
"AA",2307900-242,$25.000000,5 Years,2024-12-20,2025-02-18,$0.488786,$24.665357,7.2600000%,current,
"AA",2305892-342,$25.000000,3 Years,2024-12-20,2025-02-18,$0.773879,$24.396192,8.0100000%,current,
"AA",2306262-75,$25.000000,2 Years,2024-12-17,2025-02-13,$1.133564,$24.059657,9.1000000%,current,
"AA",2309635-186,$25.000000,4 Years,2024-12-16,2025-02-12,$0.603039,$24.570658,8.1800000%,current,
"AA",2305617-146,$25.000000,5 Years,2024-12-16,2025-02-12,$0.511209,$24.682012,9.1000000%,current,
"A",2305581-144,$25.000000,4 Years,2024-12-16,2025-02-12,$0.646084,$24.602958,11.7300000%,current,
"AA",2303324-191,$25.000000,4 Years,2024-12-16,2025-02-12,$0.607792,$24.574388,8.5800000%,current,
"AA",2309191-194,$25.000000,5 Years,2024-12-13,2025-02-11,$0.510924,$24.681856,9.0800000%,current,
"AA",2302847-376,$25.000000,4 Years,2024-12-13,2025-02-11,$0.589094,$24.559537,7.0000000%,current,
"A",2302802-446,$25.000000,3 Years,2024-12-13,2025-02-11,$0.819425,$24.432388,11.8600000%,current,
"AA",2302410-237,$25.000000,5 Years,2024-12-09,2025-02-05,$0.501869,$24.675205,8.3400000%,current,
"AA",2302401-176,$25.000000,3 Years,2024-12-09,2025-02-05,$0.762187,$24.386466,7.0000000%,current,
"AA",2300066-90,$25.000000,3 Years,2024-12-09,2025-02-05,$0.762188,$24.386437,7.0000000%,current,
"AA",2305678-137,$25.000000,3 Years,2024-12-06,2025-02-04,$0.779000,$24.400400,8.4500000%,current,
"AA",2301774-63,$25.000000,3 Years,2024-12-06,2025-02-07,$0.773889,$24.396222,8.0100000%,current,
"AA",2299433-181,$25.000000,3 Years,2024-12-06,2025-02-04,$0.762184,$24.386450,7.0000000%,current,
"AA",2299430-354,$25.000000,4 Years,2024-12-06,2025-02-04,$0.683434,$24.503852,8.5500000%,current,
"AA",2305141-64,$25.000000,3 Years,2024-12-05,2025-02-03,$0.762182,$24.386455,7.0000000%,current,
"AA",2305126-107,$25.000000,3 Years,2024-12-05,2025-02-03,$0.762212,$24.386431,7.0000000%,current,
"AA",2298911-258,$25.000000,2 Years,2024-12-05,2025-02-03,$1.109328,$24.039094,6.9900000%,current,
"AA",2298908-109,$25.000000,3 Years,2024-12-05,2025-02-03,$0.762189,$24.386465,7.0000000%,current,
"AA",2298902-119,$25.000000,3 Years,2024-12-05,2025-02-03,$0.762177,$24.386419,7.0000000%,current,
"AA",2298212-160,$25.000000,5 Years,2024-12-04,2025-02-02,$0.499910,$24.673792,8.1800000%,current,
"AA",2303821-314,$25.000000,5 Years,2024-12-03,2025-01-29,$0.487565,$24.658324,7.1000000%,current,
"AA",2303812-594,$25.000000,5 Years,2024-12-03,2025-01-29,$0.574207,$24.713462,14.0000000%,current,
"A",2303806-403,$25.000000,2 Years,2024-12-03,2025-01-29,$1.148928,$24.047651,10.2500000%,current,
"AA",2299632-137,$25.000000,5 Years,2024-12-02,2025-01-27,$1.161090,$24.236240,14.0000000%,current,
"AA",2299407-94,$25.000000,4 Years,2024-12-02,2025-01-27,$0.612083,$24.570396,8.8800000%,current,
"AA",2299401-209,$25.000000,5 Years,2024-12-02,2025-01-27,$0.574212,$24.713458,14.0000000%,current,
"AA",2297219-456,$25.000000,3 Years,2024-12-02,2025-01-27,$0.825417,$24.427324,12.3000000%,current,
"AA",2296994-198,$25.000000,3 Years,2024-12-02,2025-01-27,$0.781550,$24.395375,8.6100000%,current,
"AA",2302588-145,$25.000000,2 Years,2024-11-29,2025-01-26,$1.110016,$24.033613,6.9900000%,current,
"AA",2298246-120,$25.000000,3 Years,2024-11-27,2025-02-25,$0.781562,$24.395344,8.6100000%,current,
"AA",2300884-103,$25.000000,5 Years,2024-11-25,2025-02-21,$1.004501,$24.341187,8.3300000%,current,
"AA",2297103-269,$25.000000,4 Years,2024-11-25,2025-02-21,$1.195268,$24.122608,7.6800000%,current,
"A",2300353-455,$25.000000,3 Years,2024-11-22,2025-02-20,$1.647250,$23.854875,12.1600000%,current,
"A",2300344-121,$25.000000,5 Years,2024-11-22,2025-02-20,$1.044334,$24.368708,9.9500000%,current,
"AA",2296371-185,$25.000000,5 Years,2024-11-22,2025-02-20,$1.022834,$24.354033,9.0800000%,current,
"AA",2296359-204,$25.000000,5 Years,2024-11-22,2025-02-20,$1.000797,$24.338657,8.1800000%,current,
"AA",2294006-449,$25.000000,5 Years,2024-11-22,2025-02-20,$1.147963,$24.433562,14.0000000%,current,
"AA",2298856-154,$25.000000,2 Years,2024-11-20,2025-02-18,$2.220191,$23.066119,6.9900000%,current,
"AA",2298622-196,$25.000000,4 Years,2024-11-20,2025-02-18,$1.179223,$24.110589,7.0000000%,current,
"AA",2298586-183,$25.000000,3 Years,2024-11-20,2025-02-18,$1.525584,$23.763208,7.0000000%,current,
"AA",2294883-288,$25.000000,4 Years,2024-11-20,2025-02-18,$1.216660,$24.138679,8.5800000%,current,
"AA",2298079-173,$25.000000,5 Years,2024-11-19,2025-02-15,$1.000815,$24.338632,8.1800000%,current,
"AA",2294712-110,$25.000000,2 Years,2024-11-19,2025-02-15,$2.220202,$23.066130,6.9900000%,current,
"AA",2293743-283,$25.000000,5 Years,2024-11-18,2025-02-14,$1.040633,$24.366170,9.8000000%,current,
"AA",2291408-367,$25.000000,3 Years,2024-11-18,2025-02-14,$1.525576,$23.763212,7.0000000%,current,
"AA",2291183-117,$25.000000,3 Years,2024-11-18,2025-02-16,$1.524181,$23.773931,7.0000000%,current,
"A",2291165-230,$25.000000,3 Years,2024-11-18,2025-02-14,$1.622027,$23.836643,11.1100000%,current,
"AA",2295466-131,$25.000000,2 Years,2024-11-14,2025-02-12,$2.220416,$23.066306,7.0000000%,current,
"AA",2291115-312,$25.000000,3 Years,2024-11-13,2025-02-20,$1.520588,$23.809285,7.0000000%,current,
